strTHNEM	Thalassionema frauenfeldii
strTHNEn	Thalassionema nitzschioides
strTHRAc	Thraustotheca clavata
strTHRAU	Thraustochytrium sp.
strTHTRX	Thalassiothrix antarctica
strVAUCl	Vaucheria litorea
excADUpa	Aduncisulcus paluster Carplike_NY0171
excBLATn	Blattamonas nauphoetae
excCARPm	Carpediemonas membranifera
excDYSNb	Dysnectes brevis
excERGcy	Ergobibamus cyprinoides
excHISTm	Histomonas meleagridis
excCHIca	Chilomastix caulleri
excCHIcu	Chilomastix cuspidata
excIOTAs	Iotanema sp.
excKIPFb	Kipferlia bialata
excMONOe	Monocercomonoides exilis
excPTRIp	Paratrimastix pyriformis
excSPIRs	Spironucleus salmonicida ATCC50377
excTREPs	Trepomonas sp. PC1
excTRIMm	Trimastix marina
extTTRIf	Tritrichomonas foetus
